Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
,,,,,,,,764526520,965.25,,,779959993,396.22,
,,,,,,,,775151000,961.8,,,733528000,395.28,
,,,,,,,,777762000,956.48,,,777691662,389.22,
,,,,,,,,755007000,950.76,,,777902891,387,
,,,,,,,,735750112,945,,,779984172,384,
,,,,,,,,770303000,934.4,,,779988252,381.81,
,,,,,,,,753997000,933.52,,,780501000,378.01,
,,,,,,,,754387000,927.96,,,773450100,376.14,
,,,,,,,,773501000,926.1,,,780421000,370.53,
,,,,,,,,779958693,920.64,,,779957703,369.38,
,,,,,,,,754864020,915.6,,,779958693,364.4,
,,,,,,,,768021005,913,,,779958211,363.56,
,,,,,,,,777998000,910,,,774671000,359.64,
,,,,,,,,764266000,899.25,,,785620000,359.25,
,,,,,,,,774631000,898.8,,,777693062,356.6,
,,,,,,,,773591000,890.06,,,779956806,355.14,
,,,,,,,,779959993,880.64,,,777904402,352.48,
,,,,,,,,775201000,867.6,,,777730022,349.02,
,,,,,,,,779951213,865.5,,,764826500,347.48,
,,,,,,,,777695062,860.04,,,764863000,346.66,
,,,,,,,,777731073,855.22,,,764523020,346.51,
,,,,,,,,779958694,850.4,,,792720000,343.59,
,,,,,,,,754275000,844.6,,,773191000,339.7,
,,,,,,,,764483600,840,,,777691762,338.88,
,,,,,,,,754427000,824.35,,,779957846,334.87,
,,,,,,,,779959124,817.62,,,777730073,330.31,
,,,,,,,,741021000,814.7,,,779958696,327.47,
,,,,,,,,777761000,810,,,779959125,324.91,
,,,,,,,,774191000,810,,,785580000,324.66,
,,,,,,,,726000246,807,,,764483500,322.84,
,,,,,,,,779958864,799.5,,,764346500,322.31,
,,,,,,,,725441100,795.4,,,780610000,320.73,
,,,,,,,,764346500,792,,,764826200,301.24,
,,,,,,,,777670000,789.6,,,758431000,301.04,
,,,,,,,,779956289,774,,,754187000,300.94,
,,,,,,,,754297000,771.6,,,777652362,300.18,
,,,,,,,,764523504,771,,,779959413,299.19,
,,,,,,,,764484003,765.3,,,739310000,298.92,
,,,,,,,,777671000,756.52,,,735751022,290.53,
,,,,,,,,725441200,745.9,,,779989990,290.22,
,,,,,,,,779986495,745.2,,,766685000,279.54,
,,,,,,,,779989944,743.8,,,779985571,274.57,
,,,,,,,,768133200,738,,,770310500,273.06,
,,,,,,,,781835000,734.2,,,779958864,270.48,
,,,,,,,,793260000,728,,,779986495,259.04,
,,,,,,,,780501000,727.08,,,777652562,256.92,
,,,,,,,,755125000,721.02,,,779958963,254.4,
,,,,,,,,792410000,719.19,,,776201000,244.7,
,,,,,,,,742442000,717.5,,,777905411,244.29,
,,,,,,,,767970010,716.5,,,724121200,244.23,
,,,,,,,,770312000,712.5,,,774311000,243.57,
,,,,,,,,779958220,709.31,,,779959401,239.56,
,,,,,,,,735751020,704,,,733212000,235.82,
,,,,,,,,771991000,694.83,,,724311900,234.61,
,,,,,,,,779121000,691.29,,,764827061,233.57,
,,,,,,,,779957846,691.25,,,779952097,232.64,
,,,,,,,,773131000,690.9,,,779900912,232,
,,,,,,,,780610000,690.75,,,754725000,225.72,
,,,,,,,,779301000,684.55,,,775201000,221.17,
,,,,,,,,740405000,681.8,,,779988134,218.04,
,,,,,,,,777888898,675,,,779957171,216.81,
,,,,,,,,792420000,667.19,,,780600000,216.29,
,,,,,,,,777692862,662.7,,,764523010,216.29,
,,,,,,,,764483500,660,,,779989410,211.5,
,,,,,,,,779956806,654.5,,,779959204,207.85,
,,,,,,,,779989410,652.5,,,793530074,207.32,
,,,,,,,,777693262,644,,,792410000,205.5,
,,,,,,,,774751000,636,,,777695062,204.46,
,,,,,,,,779021000,628.96,,,779988910,203.7,
,,,,,,,,779959182,623.9,,,726000246,201.07,
,,,,,,,,774311000,621,,,739452500,200.86,
,,,,,,,,779952097,614.88,,,792420000,190.69,
,,,,,,,,779988138,611.52,,,774141000,187.72,
,,,,,,,,764863000,603,,,764221100,186.36,
,,,,,,,,758431000,602.12,,,764523504,184.65,
,,,,,,,,770120000,600.16,,,754165000,182.77,
,,,,,,,,764826200,600,,,754155000,182.52,
,,,,,,,,771172000,600,,,779957139,172.97,
,,,,,,,,779959413,600,,,737009817,171.6,
,,,,,,,,777583000,599.8,,,780531000,168.12,
,,,,,,,,770250000,591.25,,,754175000,167.44,
,,,,,,,,754187000,589.44,,,775061000,158.9,
,,,,,,,,775061000,589,,,771810000,158.7,
,,,,,,,,774201000,589,,,777761000,151.2,
,,,,,,,,777696062,587.16,,,773801000,148.56,
,,,,,,,,770620100,585,,,779987255,141.72,
,,,,,,,,739310000,584.76,,,777696062,139.6,
,,,,,,,,779984172,580,,,768115000,135.52,
,,,,,,,,770100000,568.58,,,779989510,135,
,,,,,,,,779957139,568.25,,,779988135,131.46,
,,,,,,,,777730073,566.51,,,779980770,129.96,
,,,,,,,,779958963,565.44,,,779957257,122.91,
,,,,,,,,739452500,563.52,,,766681300,117.71,
,,,,,,,,779989770,560.08,,,779959182,116.53,
,,,,,,,,776201000,547.64,,,781805000,116.32,
,,,,,,,,779959125,547.56,,,779900911,116,
,,,,,,,,770501000,531,,,777671000,111.82,
,,,,,,,,770392700,524,,,767650000,110.9,
,,,,,,,,767970020,522.72,,,779987718,108.91,
,,,,,,,,735751022,520.5,,,779957258,104.98,
,,,,,,,,779988137,518.1,,,779988890,104,
,,,,,,,,770514000,515,,,779985087,102.72,
,,,,,,,,779989510,499.5,,,779951061,101.14,
,,,,,,,,773450100,496.8,,,739681101,100.49,
,,,,,,,,779989946,496.8,,,764264058,93.35,
,,,,,,,,779959804,488.25,,,754197000,88.69,
,,,,,,,,741600310,486,,,779956288,87.07,
,,,,,,,,780600000,480.96,,,771910510,81.84,
,,,,,,,,764826500,476.8,,,777698062,79.3,
,,,,,,,,779989945,472.9,,,777697062,79.3,
,,,,,,,,733528000,464.34,,,779957254,75.84,
,,,,,,,,764523020,457.6,,,771981000,71.9,
,,,,,,,,777902890,453.6,,,779957933,69.33,
,,,,,,,,754725000,450.41,,,779959135,68.4,
,,,,,,,,792720000,429,,,764527200,68.31,
,,,,,,,,779989990,422.56,,,779989944,65.3,
,,,,,,,,733212000,421.5,,,777902890,64.8,
,,,,,,,,764827061,412,,,764781050,60.62,
,,,,,,,,774671000,408,,,767660000,59.85,
,,,,,,,,779959204,407.58,,,777670000,59.76,
,,,,,,,,773191000,406.55,,,779959804,59.3,
,,,,,,,,779951061,400,,,779988138,55.12,
,,,,,,,,779985571,386.52,,,754007000,52.76,
,,,,,,,,779957137,367.92,,,764561220,52.08,
,,,,,,,,770310500,364,,,779988137,47.3,
,,,,,,,,779988910,360,,,777692962,44.86,
,,,,,,,,780531000,358.46,,,777652462,44.14,
,,,,,,,,724311900,344.5,,,777693162,44.14,
,,,,,,,,793530074,335.3,,,779956579,42.4,
,,,,,,,,724121200,334,,,768224000,41.81,
,,,,,,,,777698062,333.6,,,779957077,40.3,
,,,,,,,,777697062,333.6,,,777652862,38.25,
,,,,,,,,754155000,320.32,,,777652762,38.25,
,,,,,,,,766685000,315,,,764901600,31.73,
,,,,,,,,754165000,308.74,,,772051000,28.08,
,,,,,,,,777998500,300,,,775111000,24.99,
,,,,,,,,779957933,285.93,,,777692862,24.92,
,,,,,,,,764221100,276,,,777693262,24.24,
,,,,,,,,754175000,275.3,,,779957013,23.44,
,,,,,,,,779980770,273.6,,,779958032,22.14,
,,,,,,,,774141000,265,,,775091000,21.7,
,,,,,,,,779987255,257.6,,,766681200,21.1,
,,,,,,,,768115000,250.2,,,767550000,18.69,
,,,,,,,,779987718,246,,,779958914,18.6,
,,,,,,,,779957258,242.64,,,780190000,16.87,
,,,,,,,,773801000,239.7,,,779989946,15.9,
,,,,,,,,781805000,238.48,,,779989945,11.2,
,,,,,,,,779900912,232,,,779986450,8.03,
,,,,,,,,779956288,225.3,,,779957600,3.7,
,,,,,,,,779957257,225,,,777730020,-18.61,
,,,,,,,,739681101,219.02,,,779957137,-30.24,
,,,,,,,,766681300,217.5,,,793280074,-41.82,
,,,,,,,,771810000,207.5,,,773450200,-77.2,
,,,,,,,,779957254,189,,,777888898,-81,
,,,,,,,,779959135,180,,,764340523,-96.03,
,,,,,,,,767650000,174,,,777888893,-98.28,
,,,,,,,,779985087,165.6,,,777998500,-100.07,
,,,,,,,,754197000,159.68,,,768750010,-100.31,
,,,,,,,,764527200,138,,,777888899,-198,
,,,,,,,,780190000,129.24,,,777888891,-230.4,
,,,,,,,,771910510,124.8,,,777998000,-304.32,
,,,,,,,,779900911,116,,,779959406,-314.76,
,,,,,,,,779988890,111.84,,,777888896,-320.76,
,,,,,,,,764781050,110,,,777144000,-352,
,,,,,,,,754007000,105.12,,,779958168,-375.04,
,,,,,,,,771981000,103.2,,,777888894,-550.8,
,,,,,,,,779956579,100,,,764521061,-570.4,
,,,,,,,,767550000,93,,,777902886,-591.36,
,,,,,,,,767660000,93,,,739290000,-592.97,
,,,,,,,,779958914,83.88,,,777888890,-660.96,
,,,,,,,,773450200,83.2,,,777888892,-899.64,
,,,,,,,,768224000,83,,,777888895,-928.8,
,,,,,,,,779957013,82.32,,,779959405,-1058.36,
,,,,,,,,764561220,81.55,,,764601500,-1067.62,
,,,,,,,,779957600,80,,,737009842,-1109.52,
,,,,,,,,779958032,77.84,,,779980290,-1270.75,
,,,,,,,,779957077,74.9,,,737271000,-1532.41,
,,,,,,,,766681200,65.7,,,777762000,-1858.08,
,,,,,,,,764901600,64.68,,,791106280,-4273.68,
,,,,,,,,775111000,43.8,,,777906100,-4822.56,
,,,,,,,,775091000,43.04,,,764901073,-9242,
,,,,,,,,772051000,42.13,,,737550000,-12612.18,
,,,,,,,,779986450,10.8,,,728030000,-13086.42,
,,,,,,,,Grand Total,237925873.4,,,Grand Total,129183718.1,
